Time(s),Phi(deg),Theta(deg),Psi(deg)
0.00,0.00,0.00,0.00
1.00,9.76,26.65,38.26
2.00,4.83,-16.52,-0.16
3.00,-5.17,-13.71,35.68
4.00,-9.15,28.29,0.20
5.00,0.67,-1.84,32.95
6.00,6.85,-23.50,3.79
7.00,3.87,22.34,30.85
8.00,-4.14,14.50,7.91
9.00,-3.53,-26.10,26.85
10.00,0.88,9.80,12.27
11.00,3.68,27.59,22.19
12.00,-0.82,-19.64,16.52
13.00,-1.62,-5.31,17.22
14.00,1.76,33.17,21.91
15.00,2.47,-5.63,12.67
16.00,-1.04,-17.47,25.81
17.00,-6.21,29.67,7.47
18.00,1.12,11.25,29.51
19.00,5.99,-22.17,3.85
20.00,6.60,18.91,33.28
21.00,-6.25,26.03,0.40
22.00,-5.86,-18.77,35.03
23.00,-1.53,5.38,0.21
24.00,13.48,33.87,39.75
25.00,3.48,-7.34,-0.93
26.00,-2.08,-7.75,35.60
27.00,-12.47,35.46,-3.59
28.00,4.51,7.78,34.60
29.00,6.62,-15.03,0.04
30.00,9.32,29.12,35.07
31.00,-5.84,25.55,2.16
32.00,-1.16,-16.30,28.21
33.00,0.51,18.56,6.22
34.00,12.05,38.12,28.59
35.00,3.56,-6.80,8.37
36.00,2.29,4.51,19.61
37.00,2.44,44.97,16.18
38.00,8.85,8.96,13.72
39.00,7.85,-5.52,14.86
40.00,3.10,42.94,12.77
41.00,14.70,25.91,22.24
42.00,15.23,-4.67,-2.93
43.00,24.08,29.81,29.02
44.00,17.16,49.08,3.51
45.00,32.08,-4.39,5.60
46.00,27.88,30.34,-7.52
47.00,61.58,33.41,44.99
48.00,70.27,44.79,-26.94
49.00,88.73,7.81,-25.09
50.00,103.57,39.64,29.98
51.00,110.54,15.76,-14.92
52.00,150.98,57.69,-20.83
53.00,142.11,1.14,-23.35
54.00,149.38,24.30,2.31
55.00,139.00,43.60,-60.85
56.00,169.27,26.13,-13.42
57.00,163.13,-1.68,-33.49
58.00,173.08,49.66,-21.76
59.00,161.74,35.63,-47.33
60.00,171.05,-1.13,-23.05
